PS1,PS2,PS3,PS4,PS5,PS6,FS1,FS2,TS1,TS2,TS3,TS4,P1,VS1,CE1,CP1,SE1,Pump_Leakage
160.67349166666625,109.46691350000005,1.9914753333333262,0.0,9.842169500000013,9.72809749999997,6.709815000000007,10.304591666666655,35.62198333333334,40.97876666666664,38.471016666666664,31.745250000000006,2538.929166666707,0.5769500000000001,39.60135,1.8627499999999995,59.15718333333337,0
160.60332000000074,109.3548903333334,1.9762343333333219,0.0,9.635142166666707,9.529487833333397,6.715314999999993,10.403098333333329,36.676966666666665,41.53276666666667,38.97896666666667,34.49386666666666,2531.498900000043,0.5658500000000001,25.786433333333324,1.25555,59.33561666666665,0
160.34771999999944,109.15884466666672,1.9722239999999964,0.0,9.5305478333333,9.427948833333366,6.718521666666663,10.366249999999996,37.88080000000001,42.44245000000001,39.63194999999999,35.64615,2519.9280000000276,0.5765333333333332,22.21823333333334,1.113216666666666,59.543150000000004,0
160.1880883333334,109.06480716666653,1.9465754999999827,0.0,9.438826666666722,9.337429500000049,6.720564999999993,10.302678333333336,38.879049999999985,43.40398333333333,40.403383333333345,36.579466666666654,2511.541633333386,0.5692666666666665,20.45981666666667,1.0621500000000001,59.79489999999999,0
160.0004716666663,108.93143433333374,1.9227069999999837,0.0,9.358761999999949,9.260636166666663,6.690308333333334,10.23775,39.80391666666669,44.332750000000004,41.310550000000006,37.427899999999994,2503.4495000000343,0.5773666666666667,19.787016666666677,1.0704666666666671,59.455266666666674,0
159.9202100000004,108.88768166666719,1.91328449999999,0.0,9.301159666666644,9.206877000000002,6.699023333333328,10.178720000000004,40.65944999999999,45.17061666666665,42.12411666666665,38.21206666666665,2501.007066666737,0.5726833333333334,19.149683333333336,1.0720833333333333,59.56333333333331,0
159.67267499999937,108.67646550000013,1.8880996666666647,0.0,9.233941833333331,9.14332016666673,6.6985733333333295,10.140809999999998,41.46363333333333,45.94723333333334,42.88811666666665,38.93209999999999,2494.4169000000775,0.5730333333333333,18.666383333333332,1.0816833333333333,59.78989999999999,0
159.61445166666644,108.6517446666669,1.8748941666666623,0.0,9.194159166666767,9.105058166666646,6.678026666666669,10.095978333333333,42.215266666666665,46.66523333333335,43.51988333333331,39.55896666666667,2489.421533333364,0.5720000000000002,18.178433333333334,1.0786999999999998,59.59061666666667,0
159.47574499999968,108.52973849999994,1.8581203333333367,0.0,9.144616166666712,9.057066833333351,6.6716516666666665,10.039710000000001,42.89198333333331,47.339433333333325,44.201249999999966,40.08053333333334,2484.4190666666937,0.5670666666666666,18.334866666666663,1.1150833333333332,59.608883333333324,0
159.43799666666678,108.51088516666725,1.8410633333333353,0.0,9.104831499999985,9.019264666666755,6.659990000000001,9.99776166666668,43.532833333333336,47.98141666666667,44.79713333333333,40.612549999999985,2480.434866666682,0.5716833333333334,18.205733333333335,1.1291333333333333,59.47373333333333,0
159.32175666666623,108.4378516666666,1.8324839999999942,0.0,9.068216833333352,8.983758166666627,6.659208333333329,9.964414999999995,44.106116666666644,48.58626666666667,45.36508333333331,41.10019999999997,2478.794900000022,0.5686999999999998,18.11201666666667,1.1453500000000005,59.58435,0
159.2351133333338,108.3167815,1.8256623333333328,0.0,9.02303366666663,8.940413000000051,6.663306666666665,9.931453333333321,44.63849999999999,49.114216666666636,45.92148333333333,41.56785000000001,2472.2732000000046,0.5781499999999998,18.06883333333333,1.1645833333333335,59.758183333333314,0
